race_id,umaban,pop,odds
202535051301,6,1,2.2
202535051301,1,2,2.4
202535051301,8,3,7.0
202535051301,5,4,12.7
202535051301,4,5,13.7
202535051301,7,6,14.5
202535051301,3,7,50.8
202535051301,2,8,56.4
202535051302,4,1,2.3
202535051302,5,2,2.9
202535051302,8,3,5.7
202535051302,7,4,8.6
202535051302,6,5,14.7
202535051302,1,6,17.2
202535051302,2,7,25.8
202535051302,3,8,34.4
202535051303,6,1,1.2
202535051303,5,2,10.8
202535051303,2,3,11.6
202535051303,8,4,11.6
202535051303,3,5,18.9
202535051303,4,6,21.6
202535051303,1,7,25.2
202535051303,7,8,37.8
202535051304,1,1,1.0
202535051304,6,2,15.1
202535051304,3,3,28.1
202535051304,8,4,28.1
202535051304,4,5,39.3
202535051304,2,6,65.6
202535051304,5,7,65.6
202535051304,7,8,98.4
202535051305,1,1,2.2
202535051305,9,2,5.1
202535051305,10,3,7.7
202535051305,6,4,9.2
202535051305,4,5,11.6
202535051305,5,6,11.6
202535051305,7,7,11.6
202535051305,8,8,15.4
202535051305,3,9,23.2
202535051305,2,10,-1.0
202535051306,8,1,1.6
202535051306,4,2,8.6
202535051306,3,3,10.1
202535051306,9,4,10.1
202535051306,1,5,12.1
202535051306,6,6,15.2
202535051306,10,7,15.2
202535051306,5,8,20.2
202535051306,7,9,20.2
202535051306,2,10,60.8
202535051307,5,1,1.2
202535051307,4,2,3.1
202535051307,1,3,32.6
202535051307,8,4,32.6
202535051307,2,5,43.4
202535051307,7,6,43.4
202535051307,6,7,65.2
202535051307,3,8,130.4
202535051308,2,1,1.8
202535051308,3,2,3.1
202535051308,6,3,6.1
202535051308,1,4,14.2
202535051308,5,5,21.4
202535051308,8,6,21.4
202535051308,9,7,28.5
202535051308,4,8,42.8
202535051308,7,9,85.6
202535051309,3,1,2.0
202535051309,6,2,4.9
202535051309,1,3,6.2
202535051309,4,4,6.2
202535051309,5,5,6.2
202535051309,2,6,12.4
202535051310,6,1,2.3
202535051310,9,2,5.3
202535051310,5,3,6.2
202535051310,1,4,7.5
202535051310,4,5,9.4
202535051310,10,6,9.4
202535051310,3,7,12.5
202535051310,7,8,37.6
202535051310,8,9,37.6
202535051310,2,10,0.0
202535051311,9,1,1.5
202535051311,2,2,9.7
202535051311,3,3,11.0
202535051311,1,4,14.6
202535051311,8,5,14.6
202535051311,4,6,17.6
202535051311,6,7,17.6
202535051311,5,8,22.0
202535051311,7,9,29.3
202535051311,10,10,29.3
202535051311,11,11,29.3
202546051301,2,1,2.9
202546051301,1,2,4.9
202546051301,6,3,5.3
202546051301,5,4,6.7
202546051301,9,5,7.7
202546051301,8,6,8.2
202546051301,3,7,18.4
202546051301,4,8,18.4
