1ｺｰﾅｰ,2ｺｰﾅｰ,3ｺｰﾅｰ,4ｺｰﾅｰ,グレード,タイム,データソース,トラック,上がり3F,人気,付加賞金,単勝ｵｯｽﾞ,場名,天候,年,性別,所属,斤量,日,月,本賞金,母,母父,毛色,水分,父,父父,生年,生産者,着順_num,競走名,競走条件,競走種別,競走記号,脚質,誕生月,調教師,距離,重量種別,頭数,馬主,馬体重,馬場状態,馬齢,騎手,Ｒ
,,,,,,,,,7.0,,27.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,12.0,,317.6,,,,,,54,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,5.0,,12.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,6.0,,23.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,1.0,,2.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,11.0,,233.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,9.0,,147.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,2.0,,3.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,8.0,,39.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,10.0,,147.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,4.0,,6.9,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,3.0,,5.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,4.0,,15.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,10,,,,2,,
,,,,,,,,,3.0,,13.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,10,,,,2,,
,,,,,,,,,6.0,,49.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,10,,,,2,,
,,,,,,,,,1.0,,1.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,10,,,,2,,
,,,,,,,,,10.0,,134.9,,,,,,54,,,,,,,,,,,,,,,,,,,,1000,,10,,,,2,,
