距離,頭数,馬名1_人気,馬名1_単勝ｵｯｽﾞ,馬名1_馬齢,馬名2_人気,馬名2_単勝ｵｯｽﾞ,馬名2_馬齢
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1000,10,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1100,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1000,9,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1700,12,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1200,11,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1000,12,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1200,9,,,,,,
1600,7,,,,,,
1600,7,,,,,,
1600,7,,,,,,
1600,7,,,,,,
1600,7,,,,,,
1600,7,,,,,,
1600,7,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1600,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1600,11,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1400,14,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1200,13,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1200,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1600,12,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1200,16,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1400,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1200,15,,,,,,
1650,14,,,,,,
1650,14,,,,,,
1650,14,,,,,,
1650,14,,,,,,
