race_id,枠番,馬番,単勝ｵｯｽﾞ,人気,馬齢,斤量,距離,頭数,馬名,odds,prob,exp_roi
202530052201,1,1,27.5,7.0,3,55,1000,12,ハートマジェスティ,27.5,0.026338530019515187,0.7243095755366676
202530052201,3,3,12.2,5.0,3,55,1000,12,シルバーコムコム,12.2,0.06716246834738779,0.819382113838131
202530052201,4,4,23.5,6.0,3,55,1000,12,カツノダイヤ,23.5,0.033410841115472226,0.7851547662135973
202530052201,5,5,2.6,1.0,3,57,1000,12,スティールサンダー,2.6,0.304399056721949,0.7914375474770674
202530052201,5,6,233.6,11.0,3,57,1000,12,ロイヤルウルフ,233.6,0.011781487659089956,2.7521555171634136
202530052201,6,8,3.0,2.0,3,57,1000,12,トーケンシュン,3.0,0.2718245877718333,0.8154737633155
202530052201,7,9,39.8,8.0,3,55,1000,12,カンディア,39.8,0.018985717252464358,0.7556315466480814
202530052201,8,11,6.9,4.0,3,55,1000,12,フェイストゥーラ,6.9,0.11445662932365352,0.7897507423332094
202530052201,8,12,5.6,3.0,3,55,1000,12,イケノシティー,5.6,0.15293320213136366,0.8564259319356364
202530052202,1,1,15.4,4.0,2,55,1000,10,コンチピクルス,15.4,0.04212966334115249,0.6487968154537485
202530052202,2,2,13.5,3.0,2,55,1000,10,エイシンシキブ,13.5,0.05334124061143113,0.7201067482543203
202530052202,3,3,49.0,6.0,2,55,1000,10,ナイスキック,49.0,0.010920643644522261,0.5351115385815908
202530052202,4,4,1.3,1.0,2,55,1000,10,ミソドレミ,1.3,0.6159452686839624,0.8007288492891511
202530052202,6,6,34.2,5.0,2,55,1000,10,オカノティアラ,34.2,0.017795976527061542,0.6086223972255048
202530052202,7,8,4.1,2.0,2,55,1000,10,アースコーリング,4.1,0.2018001285990922,0.8273805272562779
202530052203,1,1,12.5,7.0,2,55,1100,12,ナイトセーリング,12.5,0.06524196345912843,0.8155245432391054
202530052203,2,2,8.5,6.0,2,55,1100,12,シンメファブル,8.5,0.10310070208929054,0.8763559677589695
202530052203,3,3,3.9,1.0,2,55,1100,12,エイシンイワハシル,3.9,0.17555439191379635,0.6846621284638057
202530052203,4,4,18.2,10.0,2,55,1100,12,エイシンヴィエント,18.2,0.04293751327407325,0.7814627415881331
202530052203,5,5,7.8,3.0,2,55,1100,12,ナイトスパイア,7.8,0.10763883200578825,0.8395828896451483
202530052203,5,6,17.2,9.0,2,55,1100,12,スーパーアオチャン,17.2,0.05103868985287786,0.8778654654694991
202530052203,6,7,13.7,8.0,2,55,1100,12,チェリカキング,13.7,0.06220813250288689,0.8522514152895504
202530052203,6,8,8.4,5.0,2,55,1100,12,ウィルラウス,8.4,0.1073002958639205,0.9013224852569321
202530052203,7,9,8.1,4.0,2,55,1100,12,ミッジーチャンプ,8.1,0.10597132563797576,0.8583677376676037
202530052203,7,10,7.2,2.0,2,55,1100,12,レヴェルトディオ,7.2,0.1204339750321453,0.8671246202314462
202530052203,8,11,20.8,12.0,2,55,1100,12,ケツァールアズール,20.8,0.05874114372949549,1.2218157895735062
202530052203,8,12,19.6,11.0,2,55,1100,12,ピエールドラゴン,19.6,0.04597293180894924,0.9010694634554052
202530052204,1,1,15.7,9.0,2,54,1000,12,アクアノート,15.7,0.05127601092114634,0.8050333714619975
202530052204,2,2,18.2,10.0,2,55,1000,12,パド,18.2,0.042897684566281236,0.7807378591063184
202530052204,3,3,10.0,5.0,2,55,1000,12,ブルーコスモス,10.0,0.08651278381823925,0.8651278381823925
202530052204,4,4,13.3,7.0,2,55,1000,12,プレスリー,13.3,0.06510144123079961,0.8658491683696349
202530052204,5,5,29.3,12.0,2,55,1000,12,タイチンルチル,29.3,0.024220595586476455,0.7096634506837601
202530052204,5,6,7.3,4.0,2,55,1000,12,トニーオーシャンズ,7.3,0.11106802455385949,0.8107965792431743
202530052204,6,7,6.2,3.0,2,55,1000,12,ダンストンチアーズ,6.2,0.1343125532364716,0.8327378300661239
202530052204,6,8,5.6,2.0,2,55,1000,12,スリーバンカーズ,5.6,0.14239059391248818,0.7973873259099338
202530052204,7,9,4.2,1.0,2,55,1000,12,サクセスビービー,4.2,0.1771787148909631,0.744150602542045
202530052204,7,10,13.3,8.0,2,55,1000,12,モーモーインディゴ,13.3,0.06446276237053711,0.8573547395281436
202530052204,8,11,24.2,11.0,2,55,1000,12,カレイホンポウ,24.2,0.03179952486240619,0.7695485016702298
202530052204,8,12,11.0,6.0,2,55,1000,12,トモノタツミ,11.0,0.08155106089566537,0.897061669852319
202530052205,1,1,13.3,6.0,3,55,1000,9,ステラブローニュ,13.3,0.056831614445652136,0.7558604721271734
202530052205,2,2,10.0,4.0,3,56,1000,9,バフェ,10.0,0.07613725039772877,0.7613725039772877
202530052205,3,3,10.8,5.0,3,57,1000,9,アースカムイ,10.8,0.07375962725664183,0.7966039743717318
202530052205,4,4,2.8,2.0,3,57,1000,9,ササキントモジロウ,2.8,0.2816176738632588,0.7885294868171246
202530052205,5,5,27.3,8.0,3,54,1000,9,アーミールック,27.3,0.02751817380981039,0.7512461450078236
202530052205,6,6,6.9,3.0,3,57,1000,9,コンゴウ,6.9,0.11625606797919752,0.802166869056463
202530052205,7,7,23.4,7.0,3,55,1000,9,スイレンチャン,23.4,0.031600394876204856,0.7394492401031936
202530052205,8,8,53.1,9.0,3,55,1000,9,リザンテラ,53.1,0.011847289730381759,0.6290910846832715
